suburb,demand_ratio
Abbotsford,0.4857142857142857
Aberfeldie,1.7990147783251231
Airport West,1.477832512315271
Albanvale,0.5438423645320197
Albert Park,3.027586206896552
Albion,0.812807881773399
Alphington,1.1004926108374384
Altona,0.6078817733990147
Altona Meadows,0.6660098522167488
Altona North,0.7054187192118226
Ardeer,0.7980295566502463
Armadale,0.49261083743842365
Ascot Vale,1.148768472906404
Ashburton,1.4660098522167488
Ashwood,1.1527093596059113
Aspendale,1.2610837438423645
Aspendale Gardens,0.8029556650246306
Attwood,1.9300492610837439
Avondale Heights,1.0935960591133005
Bacchus Marsh,0.44236453201970444
Balaclava,2.013793103448276
Balwyn,0.7438423645320197
Balwyn North,0.6541871921182266
Bayswater,1.2029556650246305
Bayswater North,1.4532019704433496
Beaconsfield,0.9310344827586207
Beaconsfield Upper,2.1192118226600987
Beaumaris,1.4926108374384237
Bellfield,1.1241379310344828
Bentleigh,0.5960591133004927
Bentleigh East,0.6581280788177339
Berwick,0.6413793103448275
Black Rock,1.8985221674876847
Blackburn,0.5172413793103449
Blackburn North,1.3793103448275863
Blackburn South,0.6512315270935961
Bonbeach,1.0285714285714285
Boronia,0.8630541871921182
Botanic Ridge,0.18423645320197043
Box Hill,0.19113300492610838
Braybrook,0.7399014778325124
Briar Hill,2.76256157635468
Brighton,0.6502463054187192
Brighton East,1.0699507389162561
Broadmeadows,0.6857142857142857
Brookfield,0.4876847290640394
Brooklyn,1.0729064039408867
Brunswick,0.7625615763546798
Brunswick East,0.458128078817734
Brunswick West,0.9310344827586207
Bulla,1.2088669950738917
Bulleen,0.8610837438423645
Bullengarook,3.1586206896551725
Bundoora,0.5004926108374385
Burnley,3.859113300492611
Burnside,0.541871921182266
Burnside Heights,1.4167487684729063
Burwood,0.41970443349753694
Burwood East,0.9201970443349754
Cairnlea,0.7172413793103448
Camberwell,0.6394088669950739
Campbellfield,1.1004926108374384
Canterbury,1.0995073891625615
Carlton,0.49261083743842365
Carlton North,2.123152709359606
