suburb,demand_ratio
Melbourne,0.20295566502463055
Melton,0.412807881773399
Melton South,0.2374384236453202
Melton West,0.5576354679802956
Mentone,0.9192118226600985
Mernda,0.35960591133004927
Mickleham,0.09852216748768473
Middle Park,3.304433497536946
Mill Park,1.3054187192118227
Mitcham,1.5182266009852217
Monbulk,1.9182266009852216
Mont Albert,0.5881773399014778
Montmorency,2.567487684729064
Montrose,2.039408866995074
Moonee Ponds,0.6472906403940887
Moorabbin,1.341871921182266
Mooroolbark,1.1724137931034482
Mordialloc,0.9822660098522168
Mount Evelyn,2.425615763546798
Mount Waverley,0.5733990147783251
Mulgrave,1.1083743842364533
Murrumbeena,0.8945812807881773
Narre Warren,0.6748768472906403
New Gisborne,0.9783251231527094
Newport,1.174384236453202
Niddrie,1.4029556650246306
Noble Park,0.5261083743842364
North Melbourne,0.43940886699507387
North Warrandyte,3.9714285714285715
Northcote,0.9832512315270936
Notting Hill,0.42758620689655175
Nunawading,1.116256157635468
Oak Park,1.0729064039408867
Oakleigh,0.8206896551724138
Oakleigh East,0.8738916256157635
Oakleigh South,1.058128078817734
Officer,0.29064039408866993
Ormond,0.8600985221674877
Pakenham,0.4522167487684729
Parkdale,1.5931034482758621
Parkville,0.6660098522167488
Pascoe Vale,1.2354679802955666
Patterson Lakes,1.0167487684729064
Plenty,2.4472906403940886
Plumpton,0.1921182266009852
Point Cook,0.31231527093596056
Port Melbourne,1.282758620689655
Prahran,0.5064039408866995
Preston,0.6591133004926109
Princes Hill,2.4532019704433496
Research,2.9635467980295567
Reservoir,0.6857142857142857
Richmond,0.7901477832512315
Riddells Creek,1.9300492610837439
Ringwood,0.7536945812807881
Ringwood East,1.4315270935960591
Ringwood North,1.9014778325123152
Ripponlea,2.7399014778325124
Rockbank,0.12019704433497537
Rosanna,1.4177339901477832
Rowville,1.1044334975369459
Roxburgh Park,0.5113300492610837
Sandhurst,0.7950738916256158
Sandringham,0.6463054187192119
Scoresby,1.3320197044334976
Seabrook,0.7891625615763547
Seaford,0.8886699507389163
Seaholme,0.9458128078817734
Seddon,1.9921182266009851
Silvan,2.537931034482759
Skye,0.865024630541872
South Kingsville,1.2995073891625615
South Melbourne,0.6758620689655173
South Morang,0.7428571428571429
South Yarra,0.4039408866995074
Southbank,0.1891625615763547
Spotswood,2.458128078817734
Springvale,0.3527093596059113
Springvale South,0.7605911330049261
St Albans,0.367487684729064
St Helena,2.356650246305419
St Kilda,0.5241379310344828
Strathmore,1.5832512315270937
Strathmore Heights,0.6334975369458128
Sunbury,0.7399014778325124
Sunshine,0.5842364532019705
Sunshine North,0.767487684729064
Sunshine West,0.6581280788177339
Surrey Hills,1.1211822660098523
Sydenham,1.5635467980295565
Tarneit,0.17142857142857143
Taylors Hill,1.3694581280788178
Taylors Lakes,1.6305418719211822
Tecoma,2.67192118226601
Templestowe,0.8561576354679803
Templestowe Lower,0.7320197044334975
The Basin,2.8019704433497536
Thomastown,0.7793103448275862
Thornbury,1.2236453201970443
Toorak,1.0019704433497536
Travancore,0.432512315270936
Truganina,0.2660098522167488
Tullamarine,1.5113300492610837
Upwey,2.6866995073891626
Vermont,1.1113300492610838
Vermont South,0.7083743842364532
Viewbank,1.567487684729064
viewbank,1.567487684729064
Wallan,0.2975369458128079
Wandin North,2.4088669950738915
Wantirna,0.9635467980295567
Wantirna South,0.7320197044334975
Warrandyte,3.8482758620689657
Warranwood,2.7970443349753693
Waterways,1.4600985221674876
Watsonia,2.3014778325123153
Watsonia North,1.3142857142857143
Wattle Glen,4.141871921182266
Werribee,0.3458128078817734
Werribee South,0.21083743842364533
West Footscray,0.8926108374384236
West Melbourne,0.3832512315270936
Westmeadows,1.1783251231527094
Wheelers Hill,0.7280788177339902
Whittlesea,1.1192118226600984
Wildwood,2.579310344827586
Williams Landing,0.3852216748768473
Williamstown,1.2541871921182266
Williamstown North,0.9665024630541872
Windsor,0.5714285714285714
Wollert,0.13201970443349753
Wonga Park,2.477832512315271
Wyndham Vale,0.2660098522167488
Yallambie,2.4423645320197043
Yarra Glen,1.4482758620689655
Yarraville,1.5142857142857142
